Table
NAME ,STREET ,CITY ,ST ,RIFLE MFG 
INC ,1219 HWY #25 S ,MONTICELLO ,MN ,4 
MACHINE LLC ,212 3RD ST W ,JASPER ,MN ,1 
ENTERPRISES INC ,15125 FRANCESCA AVENUE ,HUGO ,MN ,981 
UP GUNSMITHING LLC ,816 8TH AVE ,MADISON ,MN ,2 
RESEARCH INC ,12602 33RD AVE SW ,PILLAGER ,MN ,5284 
ENTERPRISES LLC ,2535 PILOT KNOB ROAD SUITE 117 ,MENDOTA HEIGHTS ,MN ,3 
"MICHAELSON, ANDREW PAUL ",5491 FENIAN COURT ,NORTH BRANCH ,MN ,27 
INC ,9304 BRYANT AVE SO ,BLOOMINGTON ,MN ,4 
ENTERPRISES ,3152 COUNTRY DR ,LITTLE CANADA ,MN ,1 
TACTICAL ARMS LLC ,836 16TH AVE S ,SAINT CLOUD ,MN ,5 
TECHNICAL COLLEGE ,900 4TH ST SE ,PINE CITY ,MN ,1 
ARMS COMPANY LLC ,3312 12TH ST SE ,SAINT CLOUD ,MN ,79118 
"JUSTIN; HEINTZEMAN, GREGORY ",3041 US HWY 59 ,MARSHALL ,MN ,25 
RIFLES INC ,1319 RICE CREEK RD ,FRIDLEY ,MN ,15 
MANUFACTURING CO INC ,2475 HWY 55 ,SAINT PAUL ,MN ,7 
RANGE TOOL COMPANY LLC ,202 NORTH BROADWAY ,GILBERT ,MN ,8 
JEROME MARK & AARON JACOB ,229 W MAIN ST ,ST CLAIR ,MN ,5 
LLC ,6315 RICE LAKE ROAD ,DULUTH ,MN ,652 
SHOOTERS SUPPLY LLC ,3232 E 32ND STREET ,JOPLIN ,MO ,2 
ACCURACY LLC ,812 N KURZWEIL RD ,RAYMORE ,MO ,6 
INDUSTRIES LLC ,6606 NE ANTIOCH RD ,GLADSTONE ,MO ,16 
RIFLES & SUPPLIES LLC ,35090 HIGHWAY 10 ,EXCELSIOR SPRINGS ,MO ,43 
DAWN INDUSTRIES LLC ,1511 N OHIO ,SEDALIA ,MO ,22 
DAWN MANUFACTURING & COATING LLC ,1511 N OHIO AVE ,SEDALIA ,MO ,7 
RAIN ORDNANCE INC ,11685 GATEWAY DR ,NEOSHO ,MO ,2097 
"BULLETS, LLC ",18850 RIDGEVIEW DR ,DEXTER ,MO ,1 
MARTIN J ,1209 SWIFT ST ,NORTH KANSAS CITY ,MO ,68 
,#1 BROWNING PLACE ,ARNOLD ,MO ,18483 
LLC ,10816 EWING ,KANSAS CITY ,MO ,2 
INC ,620 COUNTY ROAD 118 ,FAYETTE ,MO ,2606 
CUSTOMS LLC ,405 EAST 13TH AVE ,NORTH KANSAS CITY ,MO ,40 
"DELASHMUTT, RAYMOND ",916 CR 281 ,AUXVASSE ,MO ,3 
LLC ,152 ENTERPRISE DR #108 ,WENTZVILLE ,MO ,14 


