Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,RVLR 22 ,RVLR 32 ,RVLR 357 ,RVLR 38 ,RVLR 44 ,RVLR 50 ,RVLR TOTL 
98638426 ,"REEDER, GARY NELSON ",2599 7TH AVE ,FLAGSTAFF ,AZ ,O ,O ,O ,O ,1 ,15 ,16 
60635936 ,CHARCO 2000 ,273 CANAL ST ,HUNTINGTON ,CT ,1445 ,O ,280 ,6406 ,589 ,O ,8720 
60633345 ,COLT'S MANUFACTURING CO LLC ,545 NEWPARK AVE ,WEST HARTFORD ,CT ,O ,1 ,1711 ,45 ,579 ,1150 ,3486 
60600482 ,UNITED STATES FIRE ARMS MANUFACTURING CO ,455-453 LEDYARD ST ,HARTFORD ,CT ,O ,10 ,O ,441 ,103 ,472 ,1026 
15941170 ,HERITAGE MEG INC ,4600 NW 135TH ST ,OPA LOCKA ,FL ,34470 ,O ,O ,O ,O ,0 ,34470 
60410395 ,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,5701 ,512 ,34368 ,49639 ,18495 ,11683 ,120398 
34100093 ,CONTRACT MANUFACTURING INC ,7938 COLLEGE RD STE 105 ,BAXTER ,MN ,10 ,O ,O ,O ,75 ,2545 ,2630 
60201484 ,"STURM, RUGER & CO INC ",411 SUNAPEE ST ,NEWPORT ,NH ,40612 ,3349 ,23101 ,547 ,26451 ,16834 ,110894 
82200079 ,"ST PIERRE, THOMAS V ",506 ONE MILE RD S ,HIGHTSTOWN ,NJ ,O ,O ,O ,O ,O ,1 ,1 
61636016 ,DAN WESSON CORP ,5169 ROUTE 12 SOUTH ,NORWICH ,NY ,10 ,8 ,17 ,O ,28 ,0 ,63 
16200523 ,LEINAD INC ,221 HWY 68 N ,DUCKTOWN ,TN ,501 ,O ,O ,O ,O ,276 ,777 
16238596 ,MUNITIONS INTERNATIONAL LAB INC ,1345 B ENTERPRISE RD ,PINEY FLATS ,TN ,O ,O ,O ,O ,O ,257 ,257 
98734026 ,NORTH AMERICAN ARMS INC ,2150 S 950 E ,PROVO ,UT ,25668 ,O ,O ,O ,O ,0 ,25668 
33937486 ,SUPER SIX LLC ,3806 W LISBON ,MILWAUKEE ,WI ,O ,O ,O ,O ,O ,3 ,3 
58303091 ,FREEDOM ARMS INC ,314 HWY 239 ,FREEDOM ,WY ,101 ,48 ,114 ,O ,212 ,480 ,955 
,,,,,108518 ,3928 ,59591 ,57078 ,46533 ,33716 ,309364 


