Table
,,,,STREET ,CITY ,ST ,RIFLE MFG
ARMS INC ,,,,8920 STATE RT 405 ,MILTON ,PA ,23185
PETER G MD ,,,,RR 2 BOX 2060 STONE ST ,FRIENDSVILLE ,PA ,1
RIFLES INC ,,,,RR 2 BOX 1012 ,DINGMANS FERRY ,PA ,75
M SR ,,,,450 SMITH LN ,PALMYRA ,PA ,1
RIFLES INC ,,,,101 DOGTOWN RD ,BLOOMSBURG ,PA ,1
,,,,6 NEW ENGLAND WAY ,LINCOLN ,RI ,6
R ,,,,232 ROGER BOLT RD ,BELTON ,SC ,3
INC ,,,,383 BROWN RD ,JACKSON ,SC ,110
TACTICAL ARMORY LLC ,,,,796 ROCKY SPRINGS CHURCH RD ,LAURENS ,SC ,3
,,,,1310 INDUSTRY RD ,STURGIS ,SD ,303
ARMS LLC ,,,,105-B OAK ST ,FAIRBURN ,SD ,17
INC ,,,,1301 TURBINE DR ,RAPID CITY ,SD ,680
,,,,PURL ST BOX 260 ,ST ONGE ,SD ,21
,,,,EAST HWY 14A ECHO MOUNTAIN RD ,DEADWOOD ,SD ,1
,,,,9539 N HWY 79 ,BLACK HAWK ,SD ,1
MFG INC ,,,,5926 MILLER LANE ,MURFREESBORO ,TN ,1158
LLC ,,,,7311 GALVESTON RD STE 260 ,HOUSTON ,TX ,1
ETCYL ,,,,1305 EVERGLADE ,PASADENA ,TX ,1
,,,,200 BAYOU BEND LANE BLDG 2 ,CLEVELAND ,TX ,1
INC ,,,,1230 LUMPKIN ,HOUSTON ,TX ,5
INC ,,,,3300 CR 233 ,FLORENCE ,TX ,
,,,,5726 MORNINGSIDE DRIVE ,NEW BRAUNFELS ,TX ,40
RICHARD ,,,,906 MIDDLE RUN ,DUNCANVILLE ,TX ,18
CO INC ,,,,11231 ROSE ROAD ,CONROE ,TX ,28
CASTINGS INC ,,,,5514 W 34TH ST ,HOUSTON ,TX ,5
MACHINE INC ,,,,185 MARK LANE ,ROYSE CITY ,TX ,9
ARA ,,,,2351 MERREL RD #108 ,DALLAS ,TX ,8
,,,,6501 135 E UNIT 105 ,CORINTH ,TX ,2
FIREARMS LLC ,,,,2405 COUNTRY MEADOW LN ,WYLIE ,TX ,419
GLEN ,,,,1529 AXE ,GARLAND ,TX ,2
INC ,,,,2779 DIRECTORS ROW ,SALT LAKE CITY ,UT ,4091
,,,,2710 SOUTH 1900 WEST ,0GDEN ,UT ,
,,,,1180 BELL CASTLE CIR ,SANDY ,UT ,1


