Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,RIFLE MFG
61600463 ,,2720 MERKLE RD ,ATTICA ,NY ,2
61334276 ,KIMBER MFG INC ,1 LAWTON ST ,YONKERS ,NY ,7190
61635527 ,,14 HOEFLER AVE ,ILION ,NY ,177771
43437450 ,BALOGH JAMES ,13566 INDIAN HOLLOW RD ,GRAFTON ,0H ,12
43435702 ,BEEMILLER INC ,1015 SPRINGMILL RD ,MANSFIELD ,0H ,7310
43400315 ,,3442 S MAIN ST ,ROCK CREEK ,0H ,2
43136652 ,,537 N ELM ST ,TROY ,0H ,299
43400779 ,,10080 N PALMRA RD ,NORTH JACKSON ,0H ,4
43436235 ,,590 WOODVUE LANE ,WINTERSVILLE ,0H ,20
43437065 ,KELBLY'S RIFLE RANGE INC ,7222 DALTON FOX LAKE RD ,NORTH LAWRENCE ,0H ,413
43479505 ,,310 PARK DR ,CHARDON ,0H ,357
43437848 ,PARKER BROS MAKERS INC ,,CLEVELAND ,0H ,2
43400683 ,,13101 SR 15 ,0TTAWA ,0H ,1
43136612 ,,7777 HIVNOR RD ,CROOKSVILLE ,0H ,3
57337041 ,,HC 63 BOX 196 ,RED OAK ,0K ,1
57300887 ,J. PERODEAU GUNMAKER INC ,WOODRING AIRPORT 66TH STREET ,ENID ,0K ,1
57337084 ,TROMIX CORPORATION ,405 N WALNUT #8 ,BROKEN ARROW ,0K ,232
57336699 ,,3840 SW 113TH ,0KLAHOMA CITY ,0K ,6
99335597 ,CASCADE ARMS INC ,52261 KELLY SPRINGS RD ,MAUPIN ,0R ,1
99300756 ,,548 MENLO DR N ,KEIZER ,0R ,2
99337462 ,,4820 W 188TH PLACE ,ALOHA ,0R ,3
99337203 ,LOOCK MANUFACTURING CO INC ,21210 SW JOHNSON ST ,ALOHA ,0R ,6
99300614 ,PIERCE & SON LE SUPPLIES LLC ,2895 CHAD DR ,EUGENE ,0R ,13
99337182 ,TNW FIRERMS INC ,55325 TIMBER RD BLDG A ,VERNONIA ,0R ,274
82301302 ,,195 SOLCUM STREET FLOOR #2 ,SWOYERSVILLE ,PA ,3
82300240 ,,259 LAFAYETTE RD ,COATESVILLE ,PA ,1
82534860 ,CLASS THREE SUPPLY INC ,1400 N HERMITAGE RD ,HERMITAGE ,PA ,5
82300212 ,CLASSIC PISTOL INC ,1310 INDUSTRIAL BLVD ,SOUTHAMPTON ,PA ,1
82333035 ,DINA ARMS CORP ,3378 PRUSS HILL RD ,POTTSTOWN ,PA ,1
82301354 ,DOUG KOENIG CUSTOM RIFLES INC ,1031 FOUNTAIN ST ,ASHLAND ,PA ,1
82300912 ,GENERAL BALLISTICS INC ,RTE 715 RR #6 ,SAYLORSBURG ,PA ,1
82339102 ,,415 GREENWAY ,RED LION ,PA ,1


