Table
,STREET ,CITY ,ST ,RIFLE MFG 
,,,KY ,2 
,,,KY ,34 
,,,KY ,1 
,,,KY ,14 
INC ,1743 ANDERSON BLVD ,HEBRON ,KY ,563 
,,,LA ,14 
CUSTOM GUN WORKS LLC ,486 FRENCH FORK RD ,JONESVILLE ,LA ,1 
,,,LA ,6 
W AND COLIN M ,7600 FERN AVE BLDG 1200 ,SHREVEPORT ,LA ,30 
,,,LA ,2 
FIREARMS LLC ,9653 MAMMOTH AVE ,BATON ROUGE ,LA ,26 
,,,LA ,3 
ACADIANA LLC ,511 WALTER DR ,LAFAYETTE ,LA ,2 
PATRICK ,1003 LAKERIDGE LN ,LAKE CHARLES ,LA ,2 
,,,LA ,3 
M ,24 PALMER RD ,PLYMPTON ,MA ,25 
,,,MA ,412 
,,,MA ,1 
,,,MA ,4429 
INC ,100 SPRINGDALE RD ,WESTFIELD ,MA ,219177 
,,,MA ,156705 
CORP ,1670 MAIN ST ,AGAWAM ,MA ,25 
,,SPRINGFIELD ,MA ,20 
MACHINE CO INC ,20 LADD AVE STE 1 ,FLORENCE ,MA ,135 
,,,MD ,2572 
INC ,234 S HAVEN ST ,BALTIMORE ,MD ,911 
,,,MD ,20 
MANUFACTURING INC ,3601 COMMERCE DR STE 110 ,BALTIMORE ,MD ,18 
HAMILTON ,7558 AMERICAN CORNER RD ,PRESTON ,MD ,6 
,,,MD ,5701 
,,,MD ,135 
,,,MD ,8 


Table
46104162 ,S & S HOBBIES LLC ,4605 LEESBURG CT ,,,LOUISVILLE 
46104270 ,SOUTHERN ARMAMENT LLC ,201 EASTERN WOOD CT ,,,LOUISVILLE 
46103273 ,"STIDHAM, WILLIAM WESLEY JR ",104 WHITESBURG PLAZA ,,,WHITESBURG 
46103033 ,SUPERIOR TACTICAL SOLUTIONS INC ,5438 HWY 1078 N ,,,HENDERSON 
46103520 ,WM C ANDERSON ,,,,
57203368 ,CAJUN TACTICAL LLC ,226 EL PASO DR ,,,HOUMA 
57203050 ,CATAHOULA ,,,,
57202879 ,ELITE TACTICAL WEAPONS LLC ,5905 FINANCIAL DR STE 800 ,,,SHREVEPORT 
57203147 ,"EVANS, DAVID ",,,,
57203215 ,"MUSICK, PAUL LOWELL SR ",108 WINDCREEK LN ,,,YOUNGSVILLE 
57203043 ,RED JACKET ,,,,
57202323 ,SCOTTACTICAL LLC ,3485 ALMA RD ,,,SHREVEPORT 
57203429 ,SPECIALTIES OF ,,,,
57203056 ,"TALLMAN, JOHN ",,,,
57202835 ,VINTAGE SEASONS INC ,132 BEAUREGARD AVE ,,,SULPHUR 
60401275 ,"EARLE, STEVEN ",,,,
60403406 ,INDEPENDENT PLATING COMPANY INC ,35 NEW ST ,,,WORCESTER 
60402500 ,"ROVELTO, WILLIAM O III ",273 WINTER STREET #5 ,,,HANOVER 
60435456 ,"SAEILO, INC ",130 GODDARD MEMORIAL DR ,,,WORCESTER 
60433152 ,"SAVAGE ARMS, ",,,,
60401684 ,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,,,SPRINGFIELD 
60401163 ,TAUGWANK SPUR ,,,,
60404099 ,TROY INDUSTRIES INC ,151D CAPITAL DR ,,,WEST 
60436644 ,YANKEE HILL ,,,,
85203603 ,ADCOR DEFENSE INC ,234 S HAVEN ST ,,,BALTIMORE 
85202902 ,ADCOR INDUSTRIES ,,,,
85201223 ,BRP CORP ,7590 COMMERCE LANE ,,,CLINTON 
85202227 ,JAMES RIVER ,,,,
85202711 ,"LITTLE, MICHAEL ",,,,
85202358 ,LWRC INTERNATIONAL LLC ,815 CHESAPEAKE DRIVE ,,,CAMBRIDGE 
85211500 ,"MC KEE, INC ",8725 BOLLMAN PLACE #1 ,,,SAVAGE 
85203875 ,"SECKMAN, DANIEL O'NEIL II ",3601 COMMERCE DRIVE STE. 110 ,,,HALETHORPE 
60101613 ,"COLLINS, JAMES M ",156 CEDAR STREET # 1 ,,,BANGOR 


