Table
STREET ,CITY ,ST ,RIFLE MFG
BUILDING ,LAWRENCEVILLE ,GA ,515
,JEFFERSON ,GA ,32
,CORNELIA ,GA ,31
1685 BOGGS ROAD SUITE 300 ,DULUTH ,GA ,15586
"3587 EAST PAULDING DRIVE, SUITE 205 ",DALLAS ,GA ,27
,NASHVILLE ,GA ,1
4236 NEWTON RD SOUTH ,MILLEN ,GA ,27
,WARRENTON ,GA ,3
115 ENTERPRISE DR STE 115A ,CUMMING ,GA ,1
,BLACK CREEK ,GA ,6911
104 ,DALLAS ,GA ,15
,JEFFERSON ,GA ,16
439 RIVERBEND DR ,MACON ,GA ,253
STE 108 ,DALLAS ,GA ,38
250 KELLER RD ,ROSSVILLE ,GA ,1
1486 CHERRY RD ,FRANKLIN ,GA ,10
2282 MARK WATSON ROAD ,NASHVILLE ,GA ,19
,VIDALIA ,GA ,42
H ,FLOWERY BRANCH ,GA ,1
,JESUP ,GA ,30
234 AMBERWOOD TRAIL ,KINGSTON ,GA ,2
,DOERUN ,GA ,39
296 BROGDON RD ,SUWANEE ,GA ,141
268 CADILLAC PARKWAY SUITE 107 ,DALLAS ,GA ,3
ROADS ,SAVANNAH ,GA ,1
105 A KINGBRIDGE DR ,CARROLLTON ,GA ,303
,FAYETTEVILLE ,GA ,1
,JACKSON ,GA ,2
310 PINE TRAIL ,CANTON ,GA ,15
,SHADY DALE ,GA ,7
5493 WESTMORELAND PLAZA STE D400 ,DOUGLASVILLE ,GA ,19
,HONOLULU ,HI ,1


Table
15806236 ,ADVANCED ARMAMENT CORP LLC ,2408 TECH CENTER PARKWAY H SUITE 150
15805214 ,"AMERICAN PRECISION ARMS, LLC ",55 LYLE FIELD ROAD
15805926 ,BLACK FOREST GUNWURKS LLC ,121 HODGES STREET
15802643 ,BP FIREARMS COMPANY LLC ,
15804628 ,"C 3 DEFENSE, INC ",
15807415 ,CHEYTAC USA LLC ,541 HAZEL AVE
15806154 ,COLLIER RIFLES LLC ,
15806912 ,COMPETITIVE SHOOTER SERVICES LLC ,890 SHURLEY RD
15805934 ,CUSTOM DIGITAL DESIGNS LP ,
15800675 ,DANIEL DEFENSE INC ,101 WARFIGHTER WAY
15806454 ,DEFENSE RESEARCH & DEVELOPMENT LLC ,268 CADILLAC PKWY STE
15806917 ,DELTA THREE TACTICAL LLC ,115 SEATTLE SLEW WALK
15804577 ,"DULONG, RONALD STEVENS ",
15805973 ,HEAD DOWN PRODUCTS LLC ,268 CADILLAC PARKWAY
15800115 ,"HERITAGE CUSTOM ARMS, LLC ",
15801270 ,HISTORIC ARMS LLC ,
15803294 ,J WHIDDEN RIFLEWORKS LLC ,
15806481 ,KAVOD CUSTOM LLC ,110 E MEADOWS ST
15806824 ,KCO ENTERPRISES INC ,4606 ELK RIDGE CT SUITE
15805501 ,MA CUSTOMS LLC ,1255 E CHERRY STREET
15805361 ,"MARCH, DAVID ALAN ",
15806354 ,"MCWHORTER, WILLIAM TIMOTHY ",1549 HOWELL RD
15840168 ,MEGGITT TRAINING SYSTEMS INC ,
15807176 ,NB2 DISTRIBUTING LLC ,
15806045 ,0RTIZ CUSTOM GUNS LLC ,7 E MONTGOMERY CROSS
15806009 ,"PAYNE, JAMES M & CASHIN, PHILIP A ",
15807234 ,"ROGERS GUN WORKS, INC ",130 WHITE OAK CT
15806820 ,SECTION 8 LLC ,316 LYONS ST
15806362 ,SEMPER FI ARMS LLC ,
15804927 ,"WALKER TOOL & MFG, INC ",1300 ROSS RD
15807254 ,XSIVE INC ,
99900359 ,"OMBROS LLC, THE ",808 AHUA ST UNIT 3351
54200445 ,ACCUCAST INC ,12590 RABBIT RUN RD


