Table
CITY ,ST ,SHOTGUN EXP
BERRYVILLE ,AR ,25
CANOGA PARK ,CA ,6
PASO ROBLES ,CA ,198
NORTH HAVEN ,CT ,11197
NORTH HAVEN ,CT ,55
MIAMI ,FL ,3440
GENESEO ,IL ,4
MURRAY ,KY ,2
GARDNER ,MA ,3016
WESTFIELD ,MA ,26
POCOMOKE ,MD ,20
ACCOKEEK ,MD ,4019
MOYOCK ,NC ,10
NEWPORT ,NH ,123
BERNARDSVILLE ,NJ ,31
ILION ,NY ,20905
BLOOMSBURG ,PA ,16
EAGLE PASS ,TX ,14678


Table
RDS KEY ,LICENSE NAME
57134716 ,WILSONS GUN SHOP INC
93339255 ,"BRILL, RANDOLPH "
97737552 ,WEATHERBY INC
60600773 ,0F MOSSBERG & SONS INC 7
60600252 ,"MARLIN FIREARMS COMPANY, THE "
15947645 ,BRAZTECH INTERNATIONAL LC
33635798 ,SPRINGFIELD INC
46134967 ,"DRAKE, LEWIS "
60400253 ,"H&R 1871, LLC "
60433152 ,"SAVAGE ARMS, INC "
85236791 ,BENELLI USA CORPORATION
85207699 ,BERETTA U S A CORPORATION
15603121 ,BLACKWATER LODGE & TRAINING CENTER INC
60200735 ,"STURM, RUGER & COMPANY, INC "
82200281 ,GRIFFIN & HOWE INC
61600727 ,REMINGTON ARMS CO INC
82333855 ,TAR HUNT CUSTOM RIFLES INC
57434208 ,"MAVERICK ARMS, INC "


